,artista,listeners,playcount,biografia,artistas_similares
336,Naughty By Nature,658939,5308451,"Naughty by Nature is a hip hop group that at the time of its formation in 1991, consisted of Treach, Vinnie, and the DJ Kay Gee. 

The group formed in East Orange, New Jersey, and first appeared on the music scene in the late 1980's releasing an album titled The Independent Leaders, under their then name The New Style. The album generated the minor hit ""Scuffin' Those Knees"". After the release of their first album, the group was subsequently mentored by fellow New Jersey native Queen Latifah and consequently changed their name. <a href=""https://www.last.fm/music/Naughty+By+Nature"">Read more on Last.fm</a>","['House of Pain', 'Das EFX', 'LL Cool J', 'EPMD']"
337,Upgrade HipHop,531,27030," <a href=""https://www.last.fm/music/Upgrade+HipHop"">Read more on Last.fm</a>","['Weerd Science', 'Mike Mictlan', 'Eligh & Amp Live', 'The MC Type']"
338,Lifesavas,42588,300395,"A hip hop duo from Portland, Oregon, Lifesavas are notable for what The Onion's Nathan Rabin called their ""self deprecating style."" Their creative and insightful songs are both approachable and complex.  The group consists of Jumbo the Garbageman and Vursatyl.

Like many of their peers on Quannum Projects, their lyrics tend to be rhythmically intricate and emotionally introspective, though it contains little of the self-lacerating qualities found on the inhabitants of underground hip hop labels like Anticon and Lex. <a href=""https://www.last.fm/music/Lifesavas"">Read more on Last.fm</a>","['The Mighty Underdogs', 'Maroons', 'Lateef & The Chief', 'Lateef The Truth Speaker']"
339,Roddy Ricch,1166556,39342837,"Rodrick Wayne Moore Jr., was born on October 22, 1998 in Compton, California, where he was also raised.[4] He spent some time living in Atlanta, Georgia in his youth.[5] Roddy Ricch started rapping and singing as young as 8, and he began making beats at the earliest at age 16. In November 2018, he released the mixtape, Feed Tha Streets II, which has peaked at number 68 on the Billboard 200 Chart, led by Ricch's breakout song Die Young. In December 2019 <a href=""https://www.last.fm/music/Roddy+Ricch"">Read more on Last.fm</a>","['Polo G', 'Lil Baby', 'A Boogie wit da Hoodie', 'DaBaby']"
340,Mary J. Blige,2000988,26519168,"Mary Jane Blige (born January 11, 1971 in Bronx, New York, United States), is an American R&B, Soul, and Hip Hop singer, songwriter, rapper and actress. Known as The Queen of Hip-Hop Soul and The Queen of R&B, she has sold over 75 million records worldwide. 

In 1992, Blige released her debut album What's The 411?. The album sold 3.4 million copies on the strength of singles You Remind Me, Real Love, Reminisce, Sweet Thing, and Love No Limit. The <a href=""https://www.last.fm/music/Mary+J.+Blige"">Read more on Last.fm</a>","['Faith Evans', 'Monica', 'Toni Braxton', 'Kelly Price']"
341,Roddy Ricch,1166556,39342837,"Rodrick Wayne Moore Jr., was born on October 22, 1998 in Compton, California, where he was also raised.[4] He spent some time living in Atlanta, Georgia in his youth.[5] Roddy Ricch started rapping and singing as young as 8, and he began making beats at the earliest at age 16. In November 2018, he released the mixtape, Feed Tha Streets II, which has peaked at number 68 on the Billboard 200 Chart, led by Ricch's breakout song Die Young. In December 2019 <a href=""https://www.last.fm/music/Roddy+Ricch"">Read more on Last.fm</a>","['Polo G', 'Lil Baby', 'A Boogie wit da Hoodie', 'DaBaby']"
342,Urbanlegends,121,3025," <a href=""https://www.last.fm/music/Urbanlegends"">Read more on Last.fm</a>","['NJUMETA', 'Swa Tix', 'zappp', 'Emmanuel Chidozie']"
343,Jazzy Hip Hop Lounge,103,1427," <a href=""https://www.last.fm/music/Jazzy+Hip+Hop+Lounge"">Read more on Last.fm</a>","['Simon Jefferis', 'Hubert Tas', 'Jökull Logi', 'NumbrXII']"
344,Yung Gravy,827841,25701896,"Matt Hauri, more commonly known as Yung Gravy is an American rapper who became popular for his abstract lyrics, often sexualizing food or putting food in sexual scenarios. As his image grew, he became recognised for his love of mothers.

Yung Gravy is a graduate from the University of Wisconsin, and broke out on the internet from his smash hit “Mr. Clean”, sampling the classic song Mr. Sandman. He has become a nationwide star, selling out concerts all over the United States and racking up hundreds of thousands of followers on social media. <a href=""https://www.last.fm/music/Yung+Gravy"">Read more on Last.fm</a>","['bbno$', 'Billy Marchiafava', 'Baby Gravy', 'Yung Gravy & bbno$']"
345,Figero Scripp,2,17," <a href=""https://www.last.fm/music/Figero+Scripp"">Read more on Last.fm</a>",[]
346,Eve,1349262,34535890,"There are at least five artists using this name:
1. Eve - The Japanese singer (Utaite)
2. Eve Ai - The Taiwanese Singer
3. Jarkko Eve - The Finnish singer - songwriter - base player - guitarist
4. EVE - Brazilian girl group
5.  Eve - The American rapper, songwriter from Philadelphia.

1. Eve (いぶ ibu), also known as Keitora (けいとら) and Kurowa (クロわ), is mostly known as an utaite on the platforms Niconico and YouTube. In recent years, he has also composed original works. <a href=""https://www.last.fm/music/Eve"">Read more on Last.fm</a>","['たかやん', 'eill', 'Lotus Juice', 'DAOKO']"
347,DaBaby,1173641,43068750,"DaBaby was born Jonathan Kirk in Cleveland, Ohio in 1991. By age six, he'd relocated to Charlotte, North Carolina and spent his adolescence engaged in street life. In December 2014, Kirk made a quick decision to become a rapper, taking the name Baby Jesus and issuing his NonFiction mixtape a month later. Never having been on a stage before, he headed to South by Southwest in the spring of 2015. Kirk changed his name to DaBaby, going so far as to explain the ""political reasons"" for this decision in the lyrics to ""DaBaby (Intro) <a href=""https://www.last.fm/music/DaBaby"">Read more on Last.fm</a>","['NLE Choppa', 'Stunna 4 Vegas', 'Roddy Ricch', 'Rich the Kid']"
348,DZ,89365,456942,"There is more than one artist with this name:

1. DZ is a Dubstep producer who remixed tracks for The Crookers , Wu-tang Clan, Major Lazer and Gucci Mane and released his first full length LP “The Proliferation Sequence”. Best known for his original tracks ""Old Timers""  and  ""Down"".

The Prolific DZ is one of the influential figures of Dubstep in North America,which is reflected by his extensive back catalogue & the diversity found within it. A veteran of the 1’s & 2’s for a little over 15 years <a href=""https://www.last.fm/music/DZ"">Read more on Last.fm</a>","['Stagga', 'UltraBlack', 'Subvert', 'Jayou']"
349,Kaliii,231290,1386798,"Kaliya Ashley Ross, known professionally as Kaliii or simply Kali, is an American rapper from Roswell, Georgia. She is noted for her songs poking fun at past partners and her carefree attitude. She is of Panamanian descent. <a href=""https://www.last.fm/music/Kaliii"">Read more on Last.fm</a>","['Big Boss Vette', 'Latto', 'Flo Milli', 'Asian Doll']"
350,$NOT,730650,37330537,"Edy Edouard (born December 16, 1997), is an American rapper, singer, and songwriter. Born in New York, $not moved to West Palm Beach, Florida at seven years old, where he would begin his rap career through SoundCloud in 2016. $not rose to fame with the release of his breakout single ""Gosha"" in September 2018. <a href=""https://www.last.fm/music/$NOT"">Read more on Last.fm</a>","['DJ Scheme', 'Lil Skies', 'Ski Mask the Slump God', 'DC the Don']"
351,Roderick Porter,166438,2258728," <a href=""https://www.last.fm/music/Roderick+Porter"">Read more on Last.fm</a>",[]
352,Pop Smoke,1270061,109723935,"Bashar Barakah Jackson (July 20, 1999 – February 19, 2020), known professionally as Pop Smoke, was an American rapper and actor from Canarsie, Brooklyn, New York. He started his musical career in late 2018 with his debut single ""MPR (Panic Part 3 Remix)"", and rose to fame with the release of his breakout singles ""Welcome to the Party"" and ""Dior"" in 2019. His style of rap was heavily influenced by 50 Cent, DMX, and Meek Mill and was characterized by a signature and distinguishable drill-style rap, the style typically seen in the UK rap scene. <a href=""https://www.last.fm/music/Pop+Smoke"">Read more on Last.fm</a>","['DUSTY LOCANE', 'Fivio Foreign', 'Rah Swish', 'Lil Tjay']"
353,o2worldwide,27611,211813," <a href=""https://www.last.fm/music/o2worldwide"">Read more on Last.fm</a>","['Fritogang', 'Jon Swaii', 'Isaac Zale', 'Oranj Goodman']"
354,trellion,22633,171782,"Trellion is a British MC from Sheffield who has been rapping and recording music since around 2007. In 2009 he began work on the album 'Dive by Night' with Sheffield producer Third Person Lurkin'. The tracks featured artists such as Sniff and Figment, as well as production from Welsh producer Lou Heckla.

Dive by Night sent ripples through the underground scene and was praised for its dark twisted production and sinister original wordplay. Many releases followed including 'The Judas Clock' <a href=""https://www.last.fm/music/trellion"">Read more on Last.fm</a>","['Cult of the Damned', 'Morriarchi', 'Mcabre Brothers', 'Juga-Naut']"
355,Playboi Carti,1757281,444480897,"Jordan Terrell Carter (born September 13, 1995), popularly known as Playboi Carti, is an American rapper, performer and singer from Atlanta, Georgia. His eponymous debut mixtape was released on April 14, 2017. He originally went by the moniker Sir Cartier (stylized as $ir Cartier) when he embarked on his music career in 2011.

He originally started rapping as  Sir Cartier, releasing a mixtape titled THC: THE HIGH CHRONICAL$ on November 5, 2011, that has since been deleted from the Internet, because it was absolute balls. <a href=""https://www.last.fm/music/Playboi+Carti"">Read more on Last.fm</a>","['Ken Carson', 'Destroy Lonely', 'Lil Uzi Vert', 'Homixide Gang']"
356,Big Scarr,146451,3660442,"Big Scarr was born on April 7, 2000, and grew up in the Magnolia community of South Memphis, Tennessee. He was one of nine children, and he lived with his grandmother until her death when he was 13. He was injured in a car accident at 16 that left scars on his face, which inspired his stage name of ""Big Scarr"".

Big Scarr initially didn't have a passion for rap music and started gaining interest due to his friend and fellow artist Baby K. In 2019, he released his first track ""Make a Play"" which received 50,000 views on YouTube. <a href=""https://www.last.fm/music/Big+Scarr"">Read more on Last.fm</a>","['BIG30', 'Pooh Shiesty', 'Lil Double 0', 'Foogiano']"
357,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
358,Global Don,55,130," <a href=""https://www.last.fm/music/Global+Don"">Read more on Last.fm</a>",['Svet Fit Music']
359,HipHop Playlist,84,315," <a href=""https://www.last.fm/music/HipHop+Playlist"">Read more on Last.fm</a>",[]
360,Luh Tyler,186741,3963864,"Tyler Meeks[1] (born February 20, 2006), known professionally as Luh Tyler, is a rapper from Tallahassee, Florida[2] currently signed to Atlantic Records. His debut studio album My Vision peaked at number 2 on the Billboard Top Heatseekers chart. <a href=""https://www.last.fm/music/Luh+Tyler"">Read more on Last.fm</a>","['Real Boston Richey', 'Babyface Ray', 'Veeze', 'Bossman Dlow']"
361,Jack Harlow,1464568,61467639,"Jackman Thomas ""Jack"" Harlow (born March 13, 1998), is an American rapper and songwriter. He is signed to Generation Now and Atlantic Records. He is also the co-founder of his own musical collective, Private Garden. He is best known for his single ""What's Poppin"", which peaked at number 2 on the Billboard Hot 100.

Harlow was born and raised in Louisville. Harlow began rapping at age 12. He and a friend used a Guitar Hero microphone and a laptop to record rhymes and songs. <a href=""https://www.last.fm/music/Jack+Harlow"">Read more on Last.fm</a>","['Cordae', 'The Homies', 'Logic', 'Drake']"
362,Lil Tecca,1214965,85098778,"Tyler-Justin Anthony Sharpe (born August 26, 2002), known professionally as Lil Tecca or Tecca, is an American rapper, singer and songwriter. He gained recognition upon releasing his breakout single, ""Ransom"", which has amassed over 1 billion plays on Spotify and peaked at number four on the Billboard Hot 100. 

Tecca first gained traction during an early 2018 beef with Toronto rapper ""Lb Spiffy"" after Lb accused Tecca of stealing his flow on the track ""Callin"". <a href=""https://www.last.fm/music/Lil+Tecca"">Read more on Last.fm</a>","['Polo G', 'Internet Money', 'Lil Mosey', 'Don Toliver']"
363,Lum,21029,87798,"There are 3 bands with the name Lum.

1. LUM is the solo project of Liam Sanagan, singer-songwriter from southern Ontario who has long had a keen interest in electronic music and experimenting with production techniques. LUM is influenced heavily by this attempt to marry the production values of EDM and Hip Hop with a more traditional song-writing aesthetic usually attributed to Folk music. Liam is also part of the band First Rate People, as well as runs bedroomer. <a href=""https://www.last.fm/music/Lum"">Read more on Last.fm</a>","['Coss', 'Базар', 'Odezenne', 'LEX AMOR']"
